,Date,Contributor,Zip,Amount,Recipient,Record Type Description,Source Description
118,3/24/2006,GREATER BOSTON REAL ESTATE BOARD PAC CPF 80606,2108,$300.00 ,"Walsh, Marian",Union/Association,2006 Pre-primary Report (ND)
119,4/4/2006,Greater Boston Real Estate Board,2108,$200.00 ,"Stanley, Thomas M.",Committee,2006 Pre-primary Report (ND)
120,4/4/2006,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Petruccelli, Anthony W.",Committee,2006 Pre-primary Report (ND)
121,4/4/2006,Greater Boston Real Estate Board PAC,2108,$300.00 ,"DeLeo, Robert A.",Committee,2006 Pre-primary Report (ND)
122,4/5/2006,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Jones Jr., Bradley H.",Committee,2006 Pre-primary Report (ND)
123,4/5/2006,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Timilty, James",Committee,2006 Pre-primary Report (ND)
124,4/21/2006,Greater Boston Real Estate Boa,2108,$100.00 ,"Timilty, Walter F.",Committee,2006 Pre-primary Report (ND)
125,4/26/2006,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Koutoujian, Peter  J.",Committee,2006 Pre-primary Report (ND)
126,5/1/2006,Greater Boston Real Estate Board,2108,$200.00 ,"Creedon Jr., Robert S.",Committee,2006 Pre-primary Report (ND)
127,5/16/2006,GREATER BOSTON REAL ESTATE BOARD PAC,2124,$200.00 ,"McGee, Thomas M.",Individual,2006 Pre-primary Report (ND)
128,5/22/2006,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$300.00 ,"Flaherty Jr., Michael F.",Committee,5/22/06 Deposit Report
129,5/23/2006,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Spilka, Karen",Committee,2006 Pre-primary Report (ND)
130,5/24/2006,GREATER BOSTON REAL ESTATE BOARD,2108,$300.00 ,"Tolman, Steven A.",Committee,2006 Pre-primary Report (ND)
131,6/6/2006,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Honan, Kevin G.",Committee,2006 Pre-primary Report (ND)
132,6/9/2006,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Tisei, Richard R.",Committee,2006 Pre-primary Report (ND)
133,6/12/2006,Greater Boston Real Estate Board,2108,$300.00 ,"Hart Jr., John A.",Committee,2006 Pre-primary Report (ND)
134,6/12/2006,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$150.00 ,"Resor, Pamela P.",Committee,2006 Pre-primary Report (ND)
135,6/20/2006,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Rogers, John H.",Committee,2006 Pre-primary Report (ND)
136,6/26/2006,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Binienda, Sr., John J.",Committee,2006 Pre-primary Report (ND)
137,6/27/2006,GREATER BOSTON REAL ESTATE BOARD PAC,20108,$200.00 ,"Rush, Michael F.",Committee,2006 Pre-primary Report (ND)
